"id","description","name","version","type","package_name","add_package_name"
1,"","Integer",1,"Inner","java.lang",""
2,"","Long",1,"Inner","java.lang",""
3,"","String",1,"Inner","java.lang",""
4,"","Boolean",1,"Inner","java.lang",""
5,"Интерфейс для получения Name типа String","NameAware",1,"interface","","api"
6,"Интерфейс для получения Id типа Long","IdAware",1,"interface","","api"
7,"Информация об объекте хранящейся в таблице obj_table","ObjDo",1,"class","","data"
8,"","Data",1,"@interface","lombok",""
9,"","FunctionalInterface",1,"Inner","java.lang",""
10,"Информация об объекте хранящейся в таблице program_table","ProgramDo",1,"class","","data"
11,"Информация об объекте хранящейся в таблице program_obj_link_table","ProgramObjLinkDo",1,"class","","data"
12,"Информация об объекте хранящейся в таблице program_dependencies_link_table","ProgramDependenciesLinkDo",1,"class","","data"
13,"Информация об объекте хранящейся в таблице obj_method_link_table","ObjMethodLinkDo",1,"class","","data"
14,"Информация об объекте хранящейся в таблице field_link_table","ObjFieldLinkDo",1,"class","","data"
15,"Информация об объекте хранящейся в таблице obj_method_link_table","MethodDo",1,"class","","data"
16,"Информация об объекте хранящейся в таблице annotation_link_table","AnnotationLinkDo",1,"class","","data"
17,"DTO Информация об объекте хранящейся в таблице obj_table","ObjDto",1,"class","","api.dto"
18,"DTO Информация об объекте хранящейся в таблице program_table","ProgramDto",1,"class","","api.dto"
19,"DTO Информация об объекте хранящейся в таблице program_obj_link_table","ProgramObjLinkDto",1,"class","","api.dto"
20,"DTO Информация об объекте хранящейся в таблице program_dependencies_link_table","ProgramDependenciesLinkDto",1,"class","","api.dto"
21,"DTO Информация об объекте хранящейся в таблице obj_method_link_table","ObjMethodLinkDto",1,"class","","api.dto"
22,"DTO Информация об объекте хранящейся в таблице field_link_table","ObjFieldLinkDto",1,"class","","api.dto"
23,"DTO Информация об объекте хранящейся в таблице obj_method_link_table","MethodDto",1,"class","","api.dto"
24,"DTO Информация об объекте хранящейся в таблице annotation_link_table","AnnotationLinkDto",1,"class","","api.dto"
25,"Repository ObjDo","ObjRepo",1,"interface","","data.repo"
26,"Информация об объекте хранящейся в таблице parameter_table","ParameterDo",1,"class","","data"
27,"DTO Информация об объекте хранящейся в таблице parameter_table","ParameterDto",1,"class","","api.dto"